ID,Quotation Name,Document,Quotation Content,Comment,Codes,Reference,Density,Modified by
33:93,snazy,CASSANDRA-10786,snazy,,Comment,5:2436 - 5:2440,1,arjan
33:16,A v5 is fne IMO,CASSANDRA-10786,A v5 is fne IMO,,Architectural solution benefits and drawbacks,5:2443 - 5:2457,1,arjan
33:17,But I’d suggest to include the v4-hash plus a hash over the  reference…,CASSANDRA-10786,But I’d suggest to include the v4-hash plus a hash over the  references schema objects.,,Architectural design configuration,5:2460 - 5:2546,1,arjan
33:18,This would make rolling upgrades more robust.,CASSANDRA-10786,"This would make rolling upgrades more robust.
",,Architectural solution benefits and drawbacks,5:2548 - 5:2594,1,arjan
33:20,The thing is that a statement can potentially reference UDFs which req…,CASSANDRA-10786,"The thing is that a statement can potentially reference UDFs which requires UDTs, which  makes it difcult. OTOH the schema version would invalidate all pstsmts - even those that  are not afected.
",,Motivation of design issue,5:2595 - 5:2791,1,arjan
33:19,Probably it’s ok to just include the hash of the table instead of all…,CASSANDRA-10786,"Probably it’s ok to just include the hash of the table instead of all referenced objects. Not  sure on this.
",,"Architectural design configuration
Assumptions",5:2792 - 5:2900,2,arjan
33:94,ifesdjeen,CASSANDRA-10786,ifesdjeen,,Comment,5:2905 - 5:2913,1,arjan
33:21,"we actually already do store both the ""short"" md5 hash (one with only…",CASSANDRA-10786,"we actually already do store both the ""short"" md5 hash (one with only  the query string and keyspace) and ""long"" one (QS, KS and resultset metadata), since we  would like to avoid parsing query string on every prepare",,Existing system architecture description,5:2925 - 5:3141,1,arjan
33:22,"In case of hash, we’re mostly  interested to have a distinction for th…",CASSANDRA-10786,"In case of hash, we’re mostly  interested to have a distinction for the client.We have to walk through each instance of  statement that’s being invalidated anyways, so I’m not sure why having a hash of schema  objects should help (also, with the rolling updates). Statement may reference anything, but  in this case it will get invalidated and will fail on next re-prepair if/when UDF or UDT is  gone or changes.
",,Architectural solution benefits and drawbacks,5:3144 - 5:3557,1,arjan
33:95,adutra,CASSANDRA-10786,adutra,,Comment,6:4 - 6:9,1,arjan
33:23,It seems a bit artifcial to draw a relationship between the algorithm…,CASSANDRA-10786," It seems a bit artifcial to draw a relationship between the algorithm for computing  statement hashes and the protocol version.
Granted, it would prevent _existing_ drivers from deadlocking. But because the proto-  col specs are not afected directly, I fear that some driver implementors out there could add  support for protocol v5 and actually ""forget"" that with this version the algorithm changes,  and all of a sudden, all clients using such new drivers would deadlock just the same.
",,Architectural solution benefits and drawbacks,6:11 - 6:501,1,arjan
33:24,"That’s why the ""opt-in"" approach sounded better to me. It could be imp…",CASSANDRA-10786,"That’s why the ""opt-in"" approach sounded better to me. It could be implemented, as [~ifes-  djeen] stated, as a confg option; or alternatively, this could be negotiated between client  and server via the {{OPTIONS}}/{{SUPPORTED}} messages. [~ifesdjeen] correct me if  I’m wrong but as I understand your implementation, it is planned to keep both hashes (with  and without metadata) in memory, so this approach might be doable.
",,Architectural solution benefits and drawbacks,6:502 - 6:929,1,arjan
33:96,ifesdjeen,CASSANDRA-10786,ifesdjeen,,Comment,6:934 - 6:942,1,arjan
33:25,has a very good point about SHA changes and driver implementers. I’m…,CASSANDRA-10786," has a very good point about SHA changes and driver implementers. I’m  not sure if every driver would deadlock the same, it might depend on the implementation, al-  though the Python driver seems to have [same behaviour|https://github.com/ifesdjeen/cassandra-  dtest/tree/10786-trunk], just checked.
",,Architectural solution benefits and drawbacks,6:954 - 6:1254,1,arjan
33:26,I like the idea with {{OPTIONS}}/{{SUPPORTED}} over the rest so far.,CASSANDRA-10786,"I like the idea with {{OPTIONS}}/{{SUPPORTED}} over the rest so far.
",,Architectural solution benefits and drawbacks,6:1255 - 6:1324,1,arjan
33:97,snazy,CASSANDRA-10786,snazy,,Comment,6:1329 - 6:1333,1,arjan
33:27,Another possible way to solve the opt-in/long-hash problem would be to…,CASSANDRA-10786,"Another possible way to solve the opt-in/long-hash problem would be to just add another  identifer, which is the hash over the result set metadata. So, the current ID would stay as  it is and we add a _fngerprint_ to _Prepared_ response and _Execute_ request.
For native_protocol_v5.spec, section _4.2.5.4. Prepared_ would contain:  1 - <id> is [short bytes] representing the prepared query ID.
2 - <fingerprint> is [short bytes] representing the metadata hash.
3 - <metadata> is composed of:  And the body for _4.1.6 Execute_ would be {{<id><fngerprint><query_parameters>}}.
",,Architectural component behavior and structure,6:1441 - 6:2020,1,arjan
33:28,"# The coordinator could reply with a new error code (near to 0x2500, U…",CASSANDRA-10786,"# The coordinator could reply with a new error code (near to 0x2500, Unprepared) telling  the client that the result set metadata no longer matches and the statement needs to be  prepared again.
",,Architectural component behavior and structure,6:2131 - 6:2326,1,arjan
33:29,# We just send out the result set metadata with the _Rows_ response in…,CASSANDRA-10786,"# We just send out the result set metadata with the _Rows_ response in case the metadata  has changed / does not match the fngerprint.
",,Architectural component behavior and structure,6:2327 - 6:2462,1,arjan
33:30,The second option would also work around a race condition that could a…,CASSANDRA-10786,"The second option would also work around a race condition that could arise with a new  error code during schema changes. Means: some nodes may already use the new result set  metadata while others still use the old one. It would also save one roundtrip. It makes the  code on the client probably a bit more complex, but I think it’s worth to pay that price in  order to prevent this race condition (and _prepare storm_).
",,"Architectural solution benefits and drawbacks
Assumptions",6:2463 - 6:2884,2,arjan
33:98,ifesdjeen,CASSANDRA-10786,ifesdjeen,,Comment,6:2889 - 6:2897,1,arjan
33:31,"I mostly can not see how splitting the ""long hash"" to {{id}} and {{fng…",CASSANDRA-10786," I mostly can not see how splitting the ""long hash"" to {{id}} and {{fngerprint}}  improves anything. We still do use the ""short"" version internally, for reasons stated above.
5
""long"" hash is the only thing we communicate with client. It also bears no semantical  meaning, we may change it as we’re pleased, as long as we respect protocol. Also, client  would still have to come back with both {{id}} and {{fngerprint}} when executing the  prepared message. So I’m not sure how {{fngerprint}} is useful without the {{id}}.
",,Architectural solution benefits and drawbacks,6:2899 - 7:346,1,arjan
33:99,snazy,CASSANDRA-10786,snazy,,Comment,7:352 - 7:356,1,arjan
33:32,"Well, leaving the {{id}} (which is the {{MD5Digest}} for the pstmt) as…",CASSANDRA-10786,"Well, leaving the {{id}} (which is the {{MD5Digest}} for the pstmt) as is allows  backwards compatibility.
The purpose of a _fngerprint_ is to provide a hash over {{ResultSet.ResultMetadata}} -  something like a _prepared statement version_.
Imagine that a (reasonable) amount of time can elapse until all cluster nodes have pro-  cessed the schema change. Nodes can be down for whatever reason and get the schema  change late. Some nodes can be unreachable for other nodes but still be available for clients.
(Network partitions occur when you don’t need them.)  Additionally, a client probably talks to all nodes ""simultaneously"" and therefore gets difer-  ent results from nodes that have processed the schema change and those that did not have  processed it. Diferent results means: some nodes will say: ""i don’t know that pstmt ID -  please re-prepare"" while others respond as expected.
We should not make such situations worse (by causing a _prepare storm_) than it already  is (schema disagreement).
For example, say you have an application that runs 100,000 queries per second for a prepared  statement.
At time=0, an {{ALTER TABLE foo ADD bar text}} is run. The schema migration takes  for example 500ms (just a random number) until all nodes have ""switched"" their schema.
This means that 50,000 queries may hit a node that has the new schema and re-prepare but  hit another node during the next request that does not have the new schema.
Also, the information a driver gets via the _control connection_ is not ""just in time"" -  unlucky driver instances may get the schema change notifcation via the control connections  quite late.
",,Architectural solution benefits and drawbacks,7:359 - 7:2009,1,arjan
33:33,I’m not a fan of changing the way we compute the pstmt {{id}} as we’re…,CASSANDRA-10786,I’m not a fan of changing the way we compute the pstmt {{id}} as we’re pleased between  versions (either C* releases or protocol versions) for the same reasons.,,Architectural solution benefits and drawbacks,7:2010 - 7:2169,1,arjan
33:34,I agree that we should  probably not specify the algorithm to compute…,CASSANDRA-10786,I agree that we should  probably not specify the algorithm to compute such IDs into the native protocol specifcation,,Architectural solution benefits and drawbacks,7:2171 - 7:2286,1,arjan
33:35,but we should keep the algorithm to compute these IDs consistent.,CASSANDRA-10786,"but we should keep the algorithm to compute these IDs consistent.
",,Architectural component behavior and structure,7:2291 - 7:2357,1,arjan
33:100,thobbs,CASSANDRA-10786,thobbs,,Comment,7:2362 - 7:2367,1,arjan
33:36,I like the idea of using a separate hash/ID for the statement and the…,CASSANDRA-10786," I like the idea of using a separate hash/ID for the statement and the result set  metadata if we want to fx the ""prepare storm"" problem at the same time.
",,Architectural solution benefits and drawbacks,7:2369 - 7:2524,1,arjan
33:37,"Overall, it seems like it would work like this:  * In response to a PR…",CASSANDRA-10786,"Overall, it seems like it would work like this:  * In response to a PREPARE message, the server returns a statement ID and a result set  metadata ID.
* When performing an EXECUTE, the driver sends both IDs.
* If the prepared statement ID isn’t found, the server responds with an ""unprepared"" error,  and the driver needs to reprepare as usual.
* If the statement ID is found, but the metadata ID doesn’t match, the server executes the  query and responds with a special results message. This message contains the correct result  set metadata and its ID, the prepared statement ID, and a fag to indicate that it’s doing  this.
* When the driver receives this special response, it replaces its internal result set metadata  with the new one from the response.
",,Architectural design configuration,7:2525 - 7:3287,1,arjan
33:38,In the scenario Robert describes above (some nodes have seen a schema…,CASSANDRA-10786,"In the scenario Robert describes above (some nodes have seen a schema change, others  6
haven’t), this would avoid repreparation of statements. The driver might end up swap-  ping its internal result set metadata for the statement several times, but that’s relatively  inexpensive.
",,Architectural solution benefits and drawbacks,7:3288 - 8:194,1,arjan
33:101,omichallat,CASSANDRA-10786,omichallat,,Comment,8:200 - 8:209,1,arjan
33:39,"+1, it’s an elegant way to avoid an extra roundtrip when the schema ch…",CASSANDRA-10786,"+1, it’s an elegant way to avoid an extra roundtrip when the schema changed.
And since it does afect the format of protocol messages, there’s no risk of ""forgetting"" to  cover it when implementing protocol v5, like [~adutra] suggested above.
",,Architectural solution benefits and drawbacks,8:212 - 8:455,1,arjan
